tournament,match_id,stage,stage_group,team,opponent,is_home,fouls,yellows,reds,cards,pens_won,pens_conceded,went_to_et,minutes,gf,ga,result,referee,source
2010,espn_264031,Group Stage,group,South Africa,Mexico,True,17,2,0,2,0,0,False,90,1,1,D,,scraped:espn
2010,espn_264031,Group Stage,group,Mexico,South Africa,False,13,2,0,2,0,0,False,90,1,1,D,,scraped:espn
2010,espn_264032,Group Stage,group,Uruguay,France,True,13,2,1,3,0,0,False,90,0,0,D,,scraped:espn
2010,espn_264032,Group Stage,group,France,Uruguay,False,20,3,0,3,0,0,False,90,0,0,D,,scraped:espn
2010,espn_264038,Group Stage,group,South Korea,Greece,True,14,0,0,0,0,0,False,90,2,0,W,,scraped:espn
2010,espn_264038,Group Stage,group,Greece,South Korea,False,11,1,0,1,0,0,False,90,0,2,L,,scraped:espn
2010,espn_264037,Group Stage,group,Argentina,Nigeria,True,7,1,0,1,0,0,False,90,1,0,W,,scraped:espn
2010,espn_264037,Group Stage,group,Nigeria,Argentina,False,8,1,0,1,0,0,False,90,0,1,L,,scraped:espn
2010,espn_264043,Group Stage,group,England,United States,True,12,3,0,3,0,0,False,90,1,1,D,,scraped:espn
2010,espn_264043,Group Stage,group,United States,England,False,14,3,0,3,0,0,False,90,1,1,D,,scraped:espn
2010,espn_264044,Group Stage,group,Algeria,Slovenia,True,17,1,1,2,0,0,False,90,0,1,L,,scraped:espn
2010,espn_264044,Group Stage,group,Slovenia,Algeria,False,11,2,0,2,0,0,False,90,1,0,W,,scraped:espn
2010,espn_264050,Group Stage,group,Serbia,Ghana,True,10,2,1,3,0,0,False,90,0,1,L,,scraped:espn
2010,espn_264050,Group Stage,group,Ghana,Serbia,False,16,2,0,2,0,0,False,90,1,0,W,,scraped:espn
2010,espn_264049,Group Stage,group,Germany,Australia,True,10,2,0,2,0,0,False,90,4,0,W,,scraped:espn
2010,espn_264049,Group Stage,group,Australia,Germany,False,18,3,1,4,0,0,False,90,0,4,L,,scraped:espn
2010,espn_264055,Group Stage,group,Netherlands,Denmark,True,13,2,0,2,0,0,False,90,2,0,W,,scraped:espn
2010,espn_264055,Group Stage,group,Denmark,Netherlands,False,21,1,0,1,0,0,False,90,0,2,L,,scraped:espn
2010,espn_264056,Group Stage,group,Japan,Cameroon,True,20,1,0,1,0,0,False,90,1,0,W,,scraped:espn
2010,espn_264056,Group Stage,group,Cameroon,Japan,False,29,1,0,1,0,0,False,90,0,1,L,,scraped:espn
2010,espn_264061,Group Stage,group,Italy,Paraguay,True,15,1,0,1,0,0,False,90,1,1,D,,scraped:espn
