opponent,mean_dev,n_games,sem,rank
Saudi Arabia,0.1851851851851852,9,0.25029988872061615,1
France,0.16358024691358025,27,0.10890631960113159,2
Iran,0.15277777777777776,12,0.14391170210321563,3
Portugal,0.14682539682539683,21,0.08681320827945035,4
Argentina,0.14285714285714285,28,0.09611588425706322,5
Egypt,0.125,8,0.125,6
South Africa,0.10714285714285714,7,0.15291943546029915,7
England,0.09895833333333333,24,0.09360101218300351,8
Brazil,0.09259259259259259,27,0.09428649996223881,9
Sweden,0.08333333333333333,9,0.1388888888888889,10
Switzerland,0.075,20,0.075,11
Colombia,0.04761904761904762,14,0.10970680682690064,12
Tunisia,0.041666666666666664,9,0.13819269959814168,13
Australia,0.03676470588235295,17,0.09797025761114285,14
Greece,0.03571428571428571,7,0.17617438793986598,15
Costa Rica,0.03030303030303031,11,0.1049727762162956,16
Poland,0.029761904761904767,7,0.21491859803025304,17
Belgium,0.029166666666666667,20,0.07083333333333335,18
Germany,0.024305555555555556,24,0.09049525551541245,19
Spain,0.0036231884057971032,23,0.06800336897912576,20
Netherlands,2.413528314402514e-18,23,0.06930706657608963,21
Canada,0.0,8,0.157485197087178,22
Nigeria,-0.016666666666666653,10,0.09444444444444444,23
Japan,-0.021929824561403508,19,0.05622480854686961,24
Paraguay,-0.025,10,0.024999999999999998,25
Algeria,-0.0303030303030303,11,0.13820308183019855,26
Serbia,-0.037037037037037035,9,0.037037037037037035,27
Italy,-0.041666666666666664,6,0.04166666666666667,28
Honduras,-0.05555555555555555,6,0.05555555555555556,29
Bosnia-Herzegovina,-0.07142857142857142,7,0.07142857142857142,30
Uruguay,-0.07196969696969696,22,0.07280032556355864,31
Ecuador,-0.07708333333333332,10,0.13537392487860073,32
Mexico,-0.07916666666666666,20,0.08277775324776904,33
New Zealand,-0.08333333333333333,6,0.08333333333333334,34
Ghana,-0.08333333333333333,15,0.06948411565273266,35
Chile,-0.08333333333333333,8,0.05455447255899809,36
United States,-0.10416666666666666,17,0.03831494657074383,37
Senegal,-0.11553030303030304,11,0.12981155109258008,38
Cameroon,-0.12962962962962962,9,0.06676946806414795,39
Russia,-0.14583333333333331,8,0.1449804995097452,40
Ivory Coast,-0.15,10,0.07637626158259733,41
Croatia,-0.15079365079365079,21,0.05564052459152733,42
Denmark,-0.1625,10,0.07567851514347376,43
South Korea,-0.16666666666666666,17,0.06816634306457538,44
Qatar,-0.17013888888888887,6,0.08613630903729218,45
Morocco,-0.19166666666666668,15,0.06349082340058804,46
Panama,-0.2638888888888889,6,0.1105890513188577,47
