team,games,tournaments,fouls_pg,cards_pg,yellows_pg,pens_won_pg,pens_conceded_pg,fouls_p90,cards_p90,pens_won_p90,pens_conceded_p90,opp_cards_pg,gd_pg,opp_fouls_pg
Algeria,11,3,13.545454545454545,1.4545454545454546,1.2727272727272727,0.09090909090909091,0.0,13.090909090909092,1.4318181818181819,0.09090909090909091,0.0,1.1818181818181819,-0.5454545454545454,12.272727272727273
Argentina,28,5,12.25,1.5714285714285714,1.5714285714285714,0.32142857142857145,0.14285714285714285,11.651785714285714,1.4375,0.30357142857142855,0.125,2.1785714285714284,0.75,15.642857142857142
Australia,17,5,14.470588235294118,2.0,1.8823529411764706,0.17647058823529413,0.058823529411764705,14.294117647058824,2.0,0.17647058823529413,0.058823529411764705,1.5294117647058822,-0.8235294117647058,11.647058823529411
Austria,4,1,11.75,1.25,1.25,0.25,0.25,11.75,1.25,0.25,0.25,0.5,-0.75,7.75
Belgium,20,4,13.75,1.45,1.35,0.1,0.1,13.475,1.4375,0.0875,0.1,1.45,1.0,11.65
Bosnia-Herzegovina,7,2,14.428571428571429,1.5714285714285714,1.4285714285714286,0.0,0.14285714285714285,14.428571428571429,1.5714285714285714,0.0,0.14285714285714285,1.1428571428571428,-0.42857142857142855,10.571428571428571
Brazil,27,5,13.518518518518519,1.6296296296296295,1.5555555555555556,0.14814814814814814,0.07407407407407407,13.037037037037036,1.5648148148148149,0.14814814814814814,0.07407407407407407,2.185185185185185,0.6666666666666666,15.814814814814815
Cameroon,9,3,13.88888888888889,1.8888888888888888,1.6666666666666667,0.0,0.0,13.88888888888889,1.8888888888888888,0.0,0.0,1.5555555555555556,-1.2222222222222223,13.88888888888889
Canada,8,2,13.125,2.375,2.375,0.125,0.0,13.125,2.375,0.125,0.0,2.0,-0.25,13.875
Cape Verde,4,1,6.75,1.25,1.25,0.0,0.0,6.0,1.1875,0.0,0.0,1.75,-0.25,12.5
Chile,8,2,17.5,2.625,2.5,0.0,0.0,16.78125,2.53125,0.0,0.0,2.0,0.0,19.25
Colombia,14,3,14.642857142857142,1.5714285714285714,1.5,0.14285714285714285,0.14285714285714285,13.857142857142858,1.4285714285714286,0.14285714285714285,0.125,1.5,1.0714285714285714,13.5
Congo DR,4,1,11.0,1.5,1.5,0.25,0.0,11.0,1.5,0.25,0.0,2.0,0.0,11.75
Costa Rica,11,3,14.727272727272727,2.090909090909091,2.0,0.09090909090909091,0.18181818181818182,13.909090909090908,1.8863636363636365,0.09090909090909091,0.18181818181818182,1.9090909090909092,-0.7272727272727273,13.818181818181818
Croatia,21,4,14.142857142857142,1.5238095238095237,1.4761904761904763,0.09523809523809523,0.2857142857142857,13.142857142857142,1.4047619047619047,0.08333333333333333,0.2857142857142857,1.4761904761904763,0.23809523809523808,13.428571428571429
Denmark,10,3,13.8,1.7,1.7,0.0,0.3,13.325,1.675,0.0,0.275,1.1,-0.4,8.7
Ecuador,10,3,14.8,1.8,1.6,0.1,0.1,14.8,1.8,0.1,0.1,1.7,-0.1,11.1
Egypt,8,2,12.125,2.125,2.125,0.125,0.5,11.6875,2.0625,0.125,0.5,1.125,-0.375,11.75
England,24,5,11.125,1.125,1.0833333333333333,0.20833333333333334,0.125,10.84375,1.09375,0.19791666666666666,0.125,1.6666666666666667,0.625,14.833333333333334
France,27,5,12.11111111111111,1.3333333333333333,1.2962962962962963,0.2962962962962963,0.2222222222222222,11.935185185185185,1.3055555555555556,0.2777777777777778,0.21296296296296297,1.7777777777777777,1.1851851851851851,13.444444444444445
Germany,24,5,10.5,1.0416666666666667,0.9583333333333334,0.125,0.0,10.197916666666666,1.0104166666666667,0.125,0.0,1.4583333333333333,1.25,12.208333333333334
Ghana,15,4,15.733333333333333,2.066666666666667,2.066666666666667,0.06666666666666667,0.06666666666666667,15.033333333333333,1.9833333333333334,0.06666666666666667,0.06666666666666667,1.9333333333333333,-0.26666666666666666,13.133333333333333
Greece,7,2,14.285714285714286,1.8571428571428572,1.7142857142857142,0.14285714285714285,0.0,13.714285714285714,1.7857142857142858,0.14285714285714285,0.0,1.8571428571428572,-0.7142857142857143,17.857142857142858
Honduras,6,2,16.166666666666668,2.1666666666666665,2.0,0.0,0.16666666666666666,16.166666666666668,2.1666666666666665,0.0,0.16666666666666666,1.5,-1.6666666666666667,15.0
Iran,12,4,13.833333333333334,2.0,2.0,0.25,0.08333333333333333,13.833333333333334,2.0,0.25,0.08333333333333333,1.1666666666666667,-0.5,12.0
Italy,6,2,14.0,1.5,1.3333333333333333,0.0,0.0,14.0,1.5,0.0,0.0,2.0,-0.3333333333333333,18.5
Ivory Coast,10,3,13.4,1.6,1.6,0.0,0.1,13.4,1.6,0.0,0.1,0.8,0.1,11.7
Japan,19,5,14.0,1.368421052631579,1.368421052631579,0.05263157894736842,0.10526315789473684,13.447368421052632,1.3157894736842106,0.05263157894736842,0.10526315789473684,1.631578947368421,0.05263157894736842,13.789473684210526
Mexico,20,5,15.0,1.9,1.85,0.1,0.2,15.0,1.9,0.1,0.2,2.15,0.2,13.2
Morocco,15,3,14.6,1.4666666666666666,1.4,0.0,0.0,14.1,1.4333333333333333,0.0,0.0,1.4,0.3333333333333333,13.8
Netherlands,23,4,16.73913043478261,2.130434782608696,2.0434782608695654,0.08695652173913043,0.13043478260869565,15.58695652173913,1.9130434782608696,0.08695652173913043,0.11956521739130435,1.9130434782608696,1.2608695652173914,13.608695652173912
New Zealand,6,2,15.5,1.6666666666666667,1.6666666666666667,0.0,0.0,15.5,1.6666666666666667,0.0,0.0,0.8333333333333334,-1.0,10.666666666666666
Nigeria,10,3,14.7,1.3,1.2,0.1,0.2,14.7,1.3,0.1,0.2,1.3,-0.5,12.0
Norway,5,1,9.6,0.4,0.4,0.2,0.4,9.6,0.4,0.2,0.4,0.6,0.6,8.2
Panama,6,2,15.833333333333334,2.6666666666666665,2.6666666666666665,0.0,0.0,15.833333333333334,2.6666666666666665,0.0,0.0,1.6666666666666667,-2.1666666666666665,14.0
Paraguay,10,2,16.2,1.9,1.8,0.0,0.1,15.25,1.825,0.0,0.1,1.9,-0.2,15.1
Poland,7,2,11.142857142857142,1.4285714285714286,1.4285714285714286,0.2857142857142857,0.2857142857142857,11.142857142857142,1.4285714285714286,0.2857142857142857,0.2857142857142857,1.2857142857142858,-0.7142857142857143,12.285714285714286
Portugal,21,5,12.380952380952381,1.5238095238095237,1.4285714285714286,0.23809523809523808,0.09523809523809523,12.380952380952381,1.5238095238095237,0.23809523809523808,0.09523809523809523,1.619047619047619,0.6666666666666666,13.285714285714286
Qatar,6,2,11.166666666666666,2.1666666666666665,1.8333333333333333,0.0,0.3333333333333333,11.166666666666666,2.1666666666666665,0.0,0.3333333333333333,1.5,-2.3333333333333335,12.5
Russia,8,2,16.625,1.375,1.25,0.125,0.125,15.25,1.28125,0.09375,0.125,2.0,0.375,11.875
Saudi Arabia,9,3,12.777777777777779,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.1111111111111111,12.777777777777779,2.3333333333333335,0.3333333333333333,0.1111111111111111,0.8888888888888888,-1.2222222222222223,13.0
